VIN,Section,Year,Model,Title,Description,Campaign,Status,Next Steps
2FMPK4K91RBA23368,Recall,2024,Edge,,,,No Recalls,
2FMPK4K91RBA23368,Customer Satisfaction Program,2024,Edge,,,,,No CSP
1FTBW3XG0RKA30130,Recall,2024,Transit,,,,No Recalls,
1FTBW3XG0RKA30130,Customer Satisfaction Program,2024,Transit,,,,,No CSP
1FMCU0E16RUA29426,Recall,2024,Escape,High voltage battery cell internal short circuit,High voltage battery cell internal short circuit,25SC4,Recall Incomplete,
1FMCU0E16RUA29426,Customer Satisfaction Program,2024,Escape,Battery energy control module becm software update,Battery energy control module becm software update,23B64,,Contact your local dealer for next steps.
1FMCU0E16RUA29426,Customer Satisfaction Program,2024,Escape,Drivers side seat buckle replacement,Drivers side seat buckle replacement,24N08,,Contact your local dealer for next steps.
2FMPK4J93RBA22675,Recall,2024,Edge,Infotainment screen blank,Infotainment screen blank,26S09,Recall Incomplete,
2FMPK4J93RBA22675,Customer Satisfaction Program,2024,Edge,,,,,No CSP
1FA6P8CF8R5404447,Recall,2024,Mustang,Body control module bcm water intrusion inspection,Body control module bcm water intrusion inspection,25C43,Recall Incomplete,
1FA6P8CF8R5404447,Customer Satisfaction Program,2024,Mustang,,,,,No CSP
1FTBR1C80RKA14455,Recall,2024,Transit,,,,No Recalls,
1FTBR1C80RKA14455,Customer Satisfaction Program,2024,Transit,,,,,No CSP
2FMPK4J9XRBA25640,Recall,2024,Edge,Infotainment screen blank,Infotainment screen blank,26S09,Recall Incomplete,
2FMPK4J9XRBA25640,Customer Satisfaction Program,2024,Edge,,,,,No CSP
1FMCU0E12RUA29262,Recall,2024,Escape,High voltage battery cell internal short circuit,High voltage battery cell internal short circuit,25SC4,Recall Incomplete,
1FMCU0E12RUA29262,Customer Satisfaction Program,2024,Escape,Battery energy control module becm software update,Battery energy control module becm software update,23B64,,Contact your local dealer for next steps.
1FMCU0E12RUA29262,Customer Satisfaction Program,2024,Escape,Drivers side seat buckle replacement,Drivers side seat buckle replacement,24N08,,Contact your local dealer for next steps.
1FMCU0E11SUA12345,Recall,2025,Escape,High voltage battery cell internal short circuit,High voltage battery cell internal short circuit,25SC4,Recall Incomplete,
1FMCU0E11SUA12345,Customer Satisfaction Program,2025,Escape,,,,,No CSP
1FMCU9NA0RUB33673,Recall,2024,Escape,,,,No Recalls,
1FMCU9NA0RUB33673,Customer Satisfaction Program,2024,Escape,,,,,No CSP
1FMCU0E13SUA13920,Recall,2025,Escape,High voltage battery cell internal short circuit,High voltage battery cell internal short circuit,25SC4,Recall Incomplete,
1FMCU0E13SUA13920,Customer Satisfaction Program,2025,Escape,,,,,No CSP
1FA6P8R08R5500341,Recall,2024,Mustang,Body control module bcm water intrusion inspection,Body control module bcm water intrusion inspection,25C43,Recall Incomplete,
1FA6P8R08R5500341,Customer Satisfaction Program,2024,Mustang,,,,,No CSP
1FMCU0E15RUB40579,Recall,2024,Escape,High voltage battery cell internal short circuit,High voltage battery cell internal short circuit,25SC4,Recall Incomplete,
1FMCU0E15RUB40579,Customer Satisfaction Program,2024,Escape,,,,,No CSP
2FMPK4J96RBA25036,Recall,2024,Edge,Infotainment screen blank,Infotainment screen blank,26S09,Recall Incomplete,
2FMPK4J96RBA25036,Customer Satisfaction Program,2024,Edge,,,,,No CSP
1FTFW5LD6RFB72659,Recall,2024,F-150,,,,No Recalls,
1FTFW5LD6RFB72659,Customer Satisfaction Program,2024,F-150,,,,,No CSP
1FTBR2C86RKA48972,Recall,2024,Transit,,,,No Recalls,
1FTBR2C86RKA48972,Customer Satisfaction Program,2024,Transit,2021-25 transit - transfer case failures warranty extension - non-parcel delivery truck and vans,2021-25 transit - transfer case failures warranty extension - non-parcel delivery truck and vans,25N12,,Contact your local dealer for next steps.
1FMJU2AG2REA84592,Recall,2024,Expedition,Front brake line leak,Front brake line leak,25S47,Recall Incomplete,
1FMJU2AG2REA84592,Recall,2024,Expedition,Trailer module reprogramming,Trailer module reprogramming,26C10,Recall Incomplete,
1FMJU2AG2REA84592,Customer Satisfaction Program,2024,Expedition,,,,,No CSP
1FMCU0GN8RUA21330,Recall,2024,Escape,,,,No Recalls,
1FMCU0GN8RUA21330,Customer Satisfaction Program,2024,Escape,Drivers side seat buckle replacement,Drivers side seat buckle replacement,24N08,,Contact your local dealer for next steps.
1FMCU0E18SUB39464,Recall,2025,Escape,,,,No Recalls,
1FMCU0E18SUB39464,Customer Satisfaction Program,2025,Escape,,,,,No CSP
1FMCU0E10SUA94987,Recall,2025,Escape,High voltage battery cell internal short circuit,High voltage battery cell internal short circuit,25SC4,Recall Incomplete,
1FMCU0E10SUA94987,Recall,2025,Escape,Liftgate hinge cover reattachment,Liftgate hinge cover reattachment,25SD6,Recall Incomplete,
1FMCU0E10SUA94987,Customer Satisfaction Program,2025,Escape,,,,,No CSP
3FMCR9BN3SRF11555,Recall,2025,Bronco Sport,,,,No Recalls,
3FMCR9BN3SRF11555,Customer Satisfaction Program,2025,Bronco Sport,,,,,No CSP
1FMCU0E10SUA75159,Recall,2025,Escape,High voltage battery cell internal short circuit,High voltage battery cell internal short circuit,25SC4,Recall Incomplete,
1FMCU0E10SUA75159,Customer Satisfaction Program,2025,Escape,,,,,No CSP
3FMTK3SU7SMA01814,Recall,2025,Mustang Mach-E,,,,No Recalls,
3FMTK3SU7SMA01814,Customer Satisfaction Program,2025,Mustang Mach-E,,,,,No CSP
1FMCU0E15SUB26719,Recall,2025,Escape,,,,No Recalls,
1FMCU0E15SUB26719,Customer Satisfaction Program,2025,Escape,,,,,No CSP
3FMTK3SU2SMA01283,Recall,2025,Mustang Mach-E,,,,No Recalls,
3FMTK3SU2SMA01283,Customer Satisfaction Program,2025,Mustang Mach-E,,,,,No CSP
1FTEW2LP7SKE83826,Recall,2025,F-150,,,,No Recalls,
1FTEW2LP7SKE83826,Customer Satisfaction Program,2025,F-150,Vehicle emissions control information veci label update,Vehicle emissions control information veci label update,25L05,,Contact your local dealer for next steps.
1FTEW3LP8SKE76549,Recall,2025,F-150,,,,No Recalls,
1FTEW3LP8SKE76549,Customer Satisfaction Program,2025,F-150,Vehicle emissions control information veci label update,Vehicle emissions control information veci label update,25L05,,Contact your local dealer for next steps.
1FTFW3L88SKF18988,Recall,2025,F-150,,,,No Recalls,
1FTFW3L88SKF18988,Customer Satisfaction Program,2025,F-150,,,,,No CSP
1FTFW3L81SKF11364,Recall,2025,F-150,,,,No Recalls,
1FTFW3L81SKF11364,Customer Satisfaction Program,2025,F-150,,,,,No CSP
3FMCR9BN0SRF12338,Recall,2025,Bronco Sport,,,,No Recalls,
3FMCR9BN0SRF12338,Customer Satisfaction Program,2025,Bronco Sport,,,,,No CSP
3FMTK3S55SMA14585,Recall,2025,Mustang Mach-E,Light emitting diode led driver control module reprogram,Light emitting diode led driver control module reprogram,25C71,Recall Incomplete,
3FMTK3S55SMA14585,Customer Satisfaction Program,2025,Mustang Mach-E,,,,,No CSP
3FTCW8PA4SRB51127,Recall,2025,Maverick,,,,No Recalls,
3FTCW8PA4SRB51127,Customer Satisfaction Program,2025,Maverick,,,,,No CSP
1FMEE8BP1SLA70894,Recall,2025,Bronco,Front seat height-adjust pivot bolt and link inspection,Front seat height-adjust pivot bolt and link inspection,26S30,Recall Incomplete,
1FMEE8BP1SLA70894,Customer Satisfaction Program,2025,Bronco,,,,,No CSP
3FMTK1S55SMA23498,Recall,2025,Mustang Mach-E,,,,No Recalls,
3FMTK1S55SMA23498,Customer Satisfaction Program,2025,Mustang Mach-E,,,,,No CSP
3FTTW8B30SRB46211,Recall,2025,Maverick,,,,No Recalls,
3FTTW8B30SRB46211,Customer Satisfaction Program,2025,Maverick,,,,,No CSP
3FMTK1S54SMA17658,Recall,2025,Mustang Mach-E,Light emitting diode led driver control module reprogram,Light emitting diode led driver control module reprogram,25C71,Recall Incomplete,
3FMTK1S54SMA17658,Customer Satisfaction Program,2025,Mustang Mach-E,,,,,No CSP
1FT7W2BTXSED96735,Recall,2025,Superduty,Trailer module reprogramming,Trailer module reprogramming,26C10,Recall Incomplete,
1FT7W2BTXSED96735,Recall,2025,Superduty,Powertrain control module pcm software update,Powertrain control module pcm software update,2.60E+02,Recall Incomplete,
1FT7W2BTXSED96735,Customer Satisfaction Program,2025,Superduty,,,,,No CSP
